Date,NDOI (cfs),X2_TopSalinity (km),Diurnal_Inequality (m),Stratification (PSU),Wind Speed (m/s),X2_BottomSalinity (km)
01-May-2021,4167,86.9,0.78,0.12,6.7,87.4
02-May-2021,3775,86.6,0.76,0.12,6.1,87.2
03-May-2021,4033,85.7,0.76,0.22,4.3,86.3
04-May-2021,3969,85.4,0.79,0.3,4.8,86
05-May-2021,3533,86.2,0.83,0.3,5.1,86.8
06-May-2021,3235,87.3,0.86,0.25,7.5,87.9
07-May-2021,2960,87,0.88,0.28,5,87.8
08-May-2021,3683,86.8,0.89,0.31,3.6,87.8
09-May-2021,4014,87.5,0.86,0.27,5,88.5
10-May-2021,4074,88.1,0.82,0.31,3.8,89.3
11-May-2021,5677,88.7,0.77,0.31,5.1,90
12-May-2021,5612,89.6,0.71,0.26,8.7,90.9
13-May-2021,5550,90.2,0.65,0.25,9.6,91.7
14-May-2021,5756,90.7,0.6,0.27,6,92
15-May-2021,6063,91,0.57,0.29,5.6,92
16-May-2021,6227,91.2,0.55,0.29,7.8,91.9
17-May-2021,5386,90.4,0.57,0.29,7.5,91.2
18-May-2021,5769,88.9,0.6,0.28,6.3,90
19-May-2021,5550,88.1,0.66,0.29,7.1,89.1
20-May-2021,5422,86.6,0.74,0.35,6.4,87.6
21-May-2021,6244,85.9,0.81,0.37,6,86.7
22-May-2021,5770,86.5,0.88,0.33,4.3,87.3
23-May-2021,5674,87.2,0.92,0.24,5.4,88
24-May-2021,6056,87.7,0.93,0.16,6,88.4
25-May-2021,6080,88.2,0.92,0.14,5.8,89
26-May-2021,5846,88.7,0.89,0.13,4.7,89.5
27-May-2021,5366,89.6,0.85,0.14,6,90.4
28-May-2021,4882,90.3,0.82,0.2,5.4,91.2
29-May-2021,4628,90.7,0.79,0.22,5.6,91.7
30-May-2021,4020,90.5,0.77,0.24,6,91.7
31-May-2021,3710,90.3,0.76,0.26,6,91.6
01-Jun-2021,3205,90.8,0.76,0.23,9.8,92.1
