Date,NDOI (cfs),X2_TopSalinity (km),Weak Ebb-Flood (m),Stratification (PSU),Wind Speed (m/s),X2_BottomSalinity (km)
01-May-2021,4167,89.8,1.38,0.11,6.4,87.4
02-May-2021,3775,89.4,1.26,0.12,6.2,87.2
03-May-2021,4033,88.4,1.26,0.22,4.8,86.3
04-May-2021,3969,88.1,1.32,0.3,4,86
05-May-2021,3533,88.9,1.5,0.3,4.6,86.8
06-May-2021,3234,89.9,1.7,0.24,6.5,87.9
07-May-2021,2960,89.5,1.9,0.27,5.1,87.9
08-May-2021,3683,89.2,2.05,0.31,5,87.8
09-May-2021,4014,89.9,1.96,0.27,4.2,88.5
10-May-2021,4074,90.4,1.8,0.3,4.8,89.3
11-May-2021,5676,91.1,1.61,0.3,4.2,90
12-May-2021,5612,92,1.44,0.24,6.5,90.9
13-May-2021,5550,92.7,1.27,0.23,8,91.7
14-May-2021,5756,93.3,1.12,0.26,6.7,92
15-May-2021,6064,93.7,0.98,0.28,5.4,92
16-May-2021,6227,93.8,0.88,0.27,6.9,92
17-May-2021,5387,93,0.82,0.27,6.5,91.2
18-May-2021,5768,91.6,0.82,0.27,6.1,90
19-May-2021,5550,90.8,0.92,0.27,6.2,89.1
20-May-2021,5422,89.1,1.2,0.34,5.3,87.6
21-May-2021,6244,88.3,1.64,0.36,4.8,86.7
22-May-2021,5769,88.8,2,0.33,4.3,87.3
23-May-2021,5674,89.5,2.21,0.23,4.7,88
24-May-2021,6056,89.9,2.2,0.15,5.9,88.4
25-May-2021,6080,90.5,2.1,0.13,5.5,89
26-May-2021,5846,91.1,1.95,0.11,5.1,89.5
27-May-2021,5366,92.1,1.81,0.12,6,90.4
28-May-2021,4883,92.8,1.7,0.17,5.4,91.2
29-May-2021,4628,93.2,1.58,0.2,4.9,91.7
30-May-2021,4020,93,1.43,0.21,5.1,91.7
31-May-2021,3709,92.9,1.33,0.23,4.4,91.7
01-Jun-2021,3206,93.4,1.34,0.2,7.9,92.2
02-Jun-2021,2364,93.2,1.4,0.19,7.7,92.1
03-Jun-2021,2309,92.7,1.54,0.19,6.3,91.6
04-Jun-2021,2226,92.8,1.71,0.19,6.2,91.6
05-Jun-2021,2330,93.2,1.82,0.24,5.5,91.9
06-Jun-2021,2909,94,1.68,0.23,5.3,92.7
07-Jun-2021,2563,94.9,1.54,0.23,6.2,93.4
08-Jun-2021,2633,95,1.49,0.26,6.2,93.6
09-Jun-2021,3173,94.5,1.39,0.26,5.9,93.2
10-Jun-2021,3392,94.1,1.29,0.31,4.7,92.7
11-Jun-2021,4262,94,1.24,0.27,5.7,92.6
12-Jun-2021,3916,94.3,1.19,0.26,5.2,92.7
13-Jun-2021,3906,94.5,1.17,0.26,6.3,92.9
14-Jun-2021,3675,93.9,1.1,0.24,5.9,92.4
15-Jun-2021,3567,93,1.08,0.24,4.7,91.6
16-Jun-2021,3538,91.9,1.19,0.26,3.3,91
17-Jun-2021,3500,92.3,1.36,0.31,3.1,91.2
18-Jun-2021,3008,93.6,1.6,0.32,3.8,92.4
19-Jun-2021,2938,95,1.87,0.25,6.9,93.6
20-Jun-2021,3055,96,2.02,0.24,8.3,94.5
21-Jun-2021,3475,96.5,1.95,0.25,8.3,95.1
22-Jun-2021,3290,96.9,1.84,0.32,7.2,95.6
23-Jun-2021,3655,97.2,1.77,0.32,6.7,95.8
24-Jun-2021,3681,97.4,1.74,0.32,7.3,96.1
25-Jun-2021,3584,97.6,1.72,0.32,7.8,96.4
26-Jun-2021,3534,97.8,1.69,0.31,7.1,96.5
27-Jun-2021,3825,97.8,1.66,0.27,7.9,96.5
28-Jun-2021,3480,97.6,1.64,0.23,7.5,96.3
29-Jun-2021,3300,97,1.58,0.23,6.1,95.6
30-Jun-2021,2823,96.1,1.52,0.18,5.6,94.7
01-Jul-2021,2747,95.2,1.58,0.16,6.4,93.9
02-Jul-2021,3328,94.9,1.67,0.18,6.3,93.5
03-Jul-2021,3043,95.3,1.68,0.18,7.8,94
04-Jul-2021,2711,95.9,1.54,0.2,7.9,94.7
05-Jul-2021,2837,96.3,1.42,0.23,8.3,95.1
06-Jul-2021,3459,96.4,1.36,0.24,7.4,95.2
07-Jul-2021,3493,96.4,1.31,0.25,6.7,95.1
08-Jul-2021,3872,96.3,1.31,0.27,4.5,94.8
09-Jul-2021,4139,96.2,1.31,0.25,5.5,94.5
10-Jul-2021,3799,96.5,1.32,0.24,6.8,94.9
11-Jul-2021,3650,96.8,1.34,0.24,7.7,95.2
12-Jul-2021,3461,96.7,1.38,0.22,7.1,95.1
13-Jul-2021,3741,96.4,1.44,0.2,7.1,94.8
14-Jul-2021,3297,96,1.48,0.21,7.5,94.4
15-Jul-2021,3366,95.1,1.55,0.17,6.5,93.6
16-Jul-2021,3007,94.3,1.68,0.16,5.9,92.8
17-Jul-2021,3159,94,1.82,0.2,5.6,92.3
18-Jul-2021,3155,94.2,1.9,0.22,6.1,92.3
19-Jul-2021,3389,94.6,1.79,0.22,6.6,92.7
20-Jul-2021,3476,95.3,1.7,0.27,6,93.6
21-Jul-2021,3496,95.7,1.69,0.32,6.1,94.2
22-Jul-2021,3599,95.7,1.73,0.33,6.2,94.5
23-Jul-2021,3767,95.9,1.77,0.33,6.3,94.6
24-Jul-2021,3690,96.1,1.84,0.28,7.5,94.7
25-Jul-2021,3378,96.2,1.88,0.24,7.8,94.8
26-Jul-2021,3408,95.7,1.85,0.25,8.1,94.5
27-Jul-2021,3416,94.7,1.78,0.29,4.2,93.5
28-Jul-2021,3688,94.5,1.75,0.19,6.2,93.1
29-Jul-2021,2777,94.8,1.71,0.11,6.5,93.3
30-Jul-2021,3056,94.8,1.67,0.1,7.5,93.5
31-Jul-2021,3026,94.7,1.57,0.12,8.1,93.5
01-Aug-2021,3010,94.3,1.38,0.18,7.8,93.3
02-Aug-2021,3122,94.2,1.24,0.23,6.3,93.2
03-Aug-2021,3451,94.3,1.18,0.19,6.9,93.1
04-Aug-2021,3093,95,1.18,0.15,7.9,93.5
05-Aug-2021,2812,95.2,1.25,0.18,7.2,93.5
06-Aug-2021,3473,94.6,1.37,0.2,5,93
07-Aug-2021,3794,94.8,1.49,0.2,5.2,93.1
08-Aug-2021,3075,95.3,1.61,0.16,6.9,93.4
09-Aug-2021,3748,95.3,1.72,0.16,6.8,93.4
10-Aug-2021,3650,95,1.81,0.15,6.4,93.1
11-Aug-2021,3510,94.7,1.89,0.08,7,93
12-Aug-2021,3276,94.5,1.93,0.04,7.2,92.9
13-Aug-2021,3368,93.8,1.95,0.03,6.9,92.4
14-Aug-2021,3464,93.5,1.94,0.06,6.5,92.1
15-Aug-2021,3454,93.7,1.77,0.13,6.9,92.5
16-Aug-2021,3393,94.3,1.57,0.21,6.4,93.3
17-Aug-2021,3582,95.1,1.47,0.25,4.5,93.8
18-Aug-2021,3797,95.5,1.47,0.27,5.4,94
19-Aug-2021,4020,95.4,1.59,0.26,6.7,94.1
20-Aug-2021,4025,95.2,1.75,0.26,5.9,94.1
21-Aug-2021,3854,95.3,1.89,0.26,6.5,94.2
22-Aug-2021,3686,95.1,2,0.26,6,93.9
23-Aug-2021,3884,94.8,2.05,0.24,6.7,93.7
24-Aug-2021,3560,94.4,2.03,0.23,6.8,93.3
25-Aug-2021,3693,93.5,2,0.24,6.5,92.5
26-Aug-2021,3608,92.5,1.95,0.28,4.4,91.5
27-Aug-2021,4116,92,1.85,0.35,2.4,91
28-Aug-2021,3719,92.3,1.6,0.4,2.2,91.4
29-Aug-2021,3486,93.2,1.25,0.3,5.9,92.6
30-Aug-2021,3604,93.9,0.98,0.26,7.4,93.3
31-Aug-2021,3574,94.2,0.87,0.24,5.6,93.8
01-Sep-2021,2696,94.4,0.92,0.2,6.2,93.9
02-Sep-2021,2952,93.7,1.1,0.21,5.6,93
03-Sep-2021,3263,93.2,1.35,0.23,5.2,92.3
04-Sep-2021,3261,93,1.6,0.25,4.5,92
05-Sep-2021,3423,92.7,1.81,0.26,4.5,91.8
06-Sep-2021,3556,92.6,1.96,0.26,3.6,91.7
07-Sep-2021,3730,92.6,2.12,0.23,5.3,91.9
08-Sep-2021,3367,92.8,2.24,0.22,5.6,92.2
09-Sep-2021,3307,93,2.29,0.23,6.6,92.5
10-Sep-2021,3067,92.9,2.21,0.24,5.9,92.4
11-Sep-2021,3771,92.5,2.03,0.26,4.8,92
12-Sep-2021,3966,92.9,1.75,0.27,4.8,92.1
13-Sep-2021,3873,93.3,1.47,0.28,4.3,92.7
14-Sep-2021,3802,93.9,1.33,0.26,4.7,93.4
15-Sep-2021,3048,94.7,1.36,0.21,8.7,94.1
16-Sep-2021,2735,94.6,1.49,0.22,6.8,93.9
17-Sep-2021,2962,94.3,1.68,0.22,6.5,93.7
18-Sep-2021,2776,94.1,1.91,0.21,5,93.5
19-Sep-2021,2577,93.3,2.09,0.21,4.2,92.7
20-Sep-2021,3072,92.7,2.22,0.24,3.1,92.1
21-Sep-2021,2802,92.7,2.27,0.28,2.4,91.8
22-Sep-2021,2778,93.2,2.21,0.29,5,92
23-Sep-2021,2346,93.5,2.07,0.37,3.4,92.6
24-Sep-2021,2286,94,1.84,0.4,4.5,93.1
25-Sep-2021,2409,94.7,1.56,0.29,7.5,93.6
26-Sep-2021,2239,95.1,1.22,0.29,6.3,94
27-Sep-2021,2057,94.9,0.97,0.34,6,94
28-Sep-2021,2063,93.4,0.84,0.52,4.6,93.7
29-Sep-2021,3449,93.2,0.81,0.5,3.8,93.3
30-Sep-2021,3951,93.4,0.99,0.58,1.7,93.5
01-Oct-2021,3765,94.4,1.28,0.64,1.2,94.4
02-Oct-2021,3239,95.9,1.6,0.53,1.6,95.1
03-Oct-2021,3234,96.5,1.87,0.49,1.5,95.5
04-Oct-2021,3331,96.8,2.08,0.46,1.7,95.9
05-Oct-2021,3519,97.2,2.22,0.38,6.5,96.1
06-Oct-2021,3236,96.9,2.32,0.4,4.1,95.8
07-Oct-2021,3971,96.5,2.32,0.43,4.2,95.5
08-Oct-2021,3771,96.5,2.19,0.45,4.2,95.5
09-Oct-2021,3721,96.1,2,0.53,2.8,95.3
10-Oct-2021,3735,96.2,1.76,0.53,3.2,95.3
11-Oct-2021,3442,95.8,1.51,0.38,9.2,95
12-Oct-2021,3605,94.9,1.34,0.44,7.8,94.6
13-Oct-2021,3777,95.5,1.3,0.54,3.4,94.8
14-Oct-2021,3614,95.3,1.5,0.54,1.8,94.5
15-Oct-2021,4059,95.3,1.77,0.56,1.3,94.3
16-Oct-2021,3705,96.1,1.96,0.5,1.6,95
17-Oct-2021,4457,97.2,2.01,0.42,4.1,96
18-Oct-2021,4299,97,2.11,0.46,3.3,95.9
19-Oct-2021,5628,96.1,2.17,0.57,2.4,95.3
20-Oct-2021,6372,96,2.05,0.6,2.1,95.2
21-Oct-2021,6092,96.1,1.92,0.6,2.6,95.2
22-Oct-2021,6683,96.2,1.71,0.53,3.6,95.2
23-Oct-2021,8491,96.2,1.4,0.61,3,95.2
24-Oct-2021,7797,96.5,1.14,0.72,5.3,95.8
25-Oct-2021,36018,92.4,0.98,0.84,3.9,92.8
26-Oct-2021,60481,86,0.78,0.95,2,87
27-Oct-2021,61852,81.7,0.69,0.9,1.8,82.4
28-Oct-2021,58813,78.8,0.73,0.87,1.4,79.6
29-Oct-2021,51384,78.6,0.98,0.84,1.6,79.1
30-Oct-2021,20953,79.6,1.32,0.76,3.9,79.2
31-Oct-2021,10168,80.1,1.7,0.69,1.9,79.1
01-Nov-2021,6044,80.9,2.02,0.64,2.4,79.9
02-Nov-2021,3086,81.8,2.26,0.55,0.9,80.6
03-Nov-2021,6073,82.9,2.38,0.47,1.3,81.4
04-Nov-2021,5640,84.1,2.31,0.39,2.8,82.3
05-Nov-2021,5565,84.9,2.21,0.33,3.9,82.9
06-Nov-2021,2878,85.4,2.05,0.31,3.7,83.4
07-Nov-2021,2607,86,1.81,0.34,2.1,83.9
08-Nov-2021,2468,86.9,1.54,0.36,2.3,85
09-Nov-2021,1717,87.6,1.33,0.42,4.5,85.8
10-Nov-2021,4352,87.3,1.33,0.45,1.4,85.6
11-Nov-2021,3047,86.9,1.44,0.46,1.1,85.2
12-Nov-2021,3859,86.9,1.63,0.47,1.1,85
13-Nov-2021,8316,86.8,1.89,0.46,1.9,84.8
14-Nov-2021,6359,86.8,2.12,0.53,2.8,84.9
15-Nov-2021,4088,87.6,2.18,0.64,2.4,85.8
16-Nov-2021,3308,88.5,2.07,0.54,2,86.9
17-Nov-2021,3455,89.2,1.92,0.42,2,87.9
18-Nov-2021,3378,89.9,1.76,0.38,1.6,88.8
19-Nov-2021,3037,90.5,1.61,0.33,1.9,89.4
20-Nov-2021,2926,90.9,1.46,0.3,1,89.8
21-Nov-2021,2600,91.4,1.3,0.31,2.4,89.9
22-Nov-2021,2618,92.3,1.14,0.34,2,90.6
23-Nov-2021,2196,93,0.99,0.33,2.5,91.4
24-Nov-2021,2190,92.4,0.91,0.36,3.1,91.4
25-Nov-2021,3327,91.5,0.9,0.41,2,90.9
26-Nov-2021,3308,91.7,0.99,0.43,1.1,91.3
27-Nov-2021,2854,92.6,1.18,0.47,1.4,92.2
28-Nov-2021,3065,93.3,1.5,0.46,1.2,92.6
29-Nov-2021,3050,93.9,1.88,0.4,0.9,92.7
30-Nov-2021,3036,94.3,2.12,0.36,0.8,92.9
01-Dec-2021,2958,94.7,2.15,0.37,2.6,93.3
02-Dec-2021,2835,95.4,2.08,0.41,1.3,94.3
03-Dec-2021,3346,96.3,2.01,0.44,4.4,95.3
04-Dec-2021,3041,96.6,1.94,0.5,3.9,95.6
05-Dec-2021,3272,96.2,1.82,0.6,2.1,95.3
06-Dec-2021,3515,96.1,1.69,0.61,2.5,95.2
07-Dec-2021,3749,96.4,1.59,0.58,2.9,95.5
08-Dec-2021,3680,96.6,1.53,0.56,2,95.5
09-Dec-2021,3834,96.3,1.5,0.48,3.1,95.1
10-Dec-2021,4648,95.1,1.57,0.47,1.5,93.9
11-Dec-2021,4864,94.5,1.71,0.39,1.2,92.9
12-Dec-2021,4280,95.5,1.79,0.38,4.9,93.5
13-Dec-2021,2675,95.8,1.83,0.42,4.6,93.9
14-Dec-2021,13059,92.6,1.74,0.53,3.4,91.6
15-Dec-2021,23071,88.9,1.63,0.71,3.9,88.8
16-Dec-2021,31580,86.4,1.51,0.64,3.4,86.7
17-Dec-2021,35845,84.2,1.45,0.49,1.5,83.9
18-Dec-2021,32282,82.4,1.34,0.42,3.4,80.8
19-Dec-2021,21202,81.4,1.24,0.42,3.1,79.4
20-Dec-2021,24996,80.4,1.21,0.43,4.2,78.4
21-Dec-2021,20826,79.3,1.16,0.45,3.6,77.5
22-Dec-2021,15407,79,1.1,0.5,3.2,77.6
23-Dec-2021,14798,79.5,1.07,0.54,1.8,78.6
24-Dec-2021,22144,78.4,1.11,0.52,3.9,77.4
25-Dec-2021,28908,75.1,1.11,0.54,4.2,74.3
26-Dec-2021,38461,70.9,1.36,0.66,2.5,70
27-Dec-2021,42838,67.6,1.68,1.04,4,66.2
28-Dec-2021,45494,65.8,1.79,1.37,3.4,64.8
29-Dec-2021,40599,65.6,1.82,1.53,4.7,65.2
30-Dec-2021,38002,65.4,1.81,1.15,1.4,65.2
31-Dec-2021,33723,65.1,1.79,0.82,2.3,64.3
01-Jan-2022,33374,64,1.79,0.73,2,62.6
02-Jan-2022,28827,63.4,1.76,0.84,1.2,61.8
03-Jan-2022,22759,64.4,1.79,0.97,2.7,62.5
04-Jan-2022,18470,64.4,1.84,0.9,2,62.6
05-Jan-2022,16614,63.8,1.84,0.83,2.7,62
06-Jan-2022,15796,63.8,1.78,0.92,1.3,62
07-Jan-2022,15673,64.1,1.68,0.97,2,62.9
08-Jan-2022,16945,63.8,1.66,1.24,1.8,63.2
09-Jan-2022,17708,63.9,1.71,1.89,2.7,64.8
10-Jan-2022,17428,65.5,1.61,1.93,1.7,67.8
11-Jan-2022,17417,67.9,1.41,1.38,0.9,70.3
12-Jan-2022,16587,70.1,1.25,1.15,2.3,72.1
13-Jan-2022,15078,72.1,1.22,0.96,1.3,73.3
14-Jan-2022,11902,73,1.25,0.85,1.9,73.9
15-Jan-2022,10822,73.9,1.25,0.76,2,74.4
16-Jan-2022,10769,75.1,1.29,0.67,1.4,75.1
17-Jan-2022,10766,76.2,1.34,0.57,0.8,75.7
18-Jan-2022,10832,76.7,1.4,0.48,3.5,75.6
19-Jan-2022,10175,75.7,1.46,0.47,1.3,74.7
20-Jan-2022,10331,74.7,1.51,0.51,1.5,74.1
21-Jan-2022,9910,74.5,1.52,0.49,5.1,74.1
22-Jan-2022,9056,74.5,1.54,0.54,6.7,74.4
23-Jan-2022,8049,74.9,1.63,0.68,1.7,75
24-Jan-2022,7946,75.6,1.77,0.73,0.9,75.8
25-Jan-2022,7467,76.9,1.72,0.72,1.6,76.9
26-Jan-2022,7479,78.1,1.55,0.62,1.1,77.6
27-Jan-2022,6655,79.5,1.44,0.52,0.9,78.6
28-Jan-2022,5712,80.7,1.42,0.47,1.9,79.6
29-Jan-2022,5556,82.1,1.51,0.41,1,80.9
30-Jan-2022,5266,83.2,1.63,0.35,1,81.7
31-Jan-2022,5811,83.5,1.8,0.3,1.7,81.7
01-Feb-2022,12147,83.7,1.91,0.27,5.9,81.4
02-Feb-2022,11684,82.5,2,0.24,7.7,80
03-Feb-2022,11845,80.7,2.06,0.29,1.1,78.5
04-Feb-2022,11703,79.1,2.06,0.34,1.7,77.3
05-Feb-2022,11852,77.9,1.99,0.38,1,76.5
06-Feb-2022,11787,77.2,1.87,0.45,0.9,76.3
07-Feb-2022,11819,76.9,1.58,0.56,1.4,76.2
08-Feb-2022,11675,77.4,1.23,0.72,0.8,76.9
09-Feb-2022,11714,78,0.96,0.92,1.8,78.2
10-Feb-2022,11742,78.8,0.88,0.97,2,79.5
11-Feb-2022,11785,80,0.96,0.85,1.2,80.3
12-Feb-2022,11816,81.1,1.11,0.76,1.5,80.4
13-Feb-2022,11841,82,1.26,0.65,1.4,80.5
14-Feb-2022,11831,83.2,1.44,0.46,5.6,81.1
15-Feb-2022,11592,82.8,1.56,0.36,6.2,80.5
16-Feb-2022,11875,81,1.67,0.35,4.9,78.8
17-Feb-2022,11848,79.5,1.82,0.36,2.6,77.6
18-Feb-2022,11850,78.9,1.95,0.37,1.5,77.3
19-Feb-2022,11496,79.1,2.03,0.4,1.6,77.5
20-Feb-2022,11465,79.7,2.03,0.36,4.2,77.9
21-Feb-2022,11613,79.4,1.95,0.3,6,77.4
22-Feb-2022,11835,78.9,1.74,0.29,4.9,76.8
23-Feb-2022,11703,78.2,1.45,0.38,3.7,76.2
24-Feb-2022,11709,77.8,1.22,0.43,1.8,76
25-Feb-2022,11433,78.1,1.19,0.45,1.6,76.4
26-Feb-2022,11149,78.1,1.32,0.46,1.3,76.6
27-Feb-2022,11724,78.1,1.56,0.46,1.6,76.6
28-Feb-2022,11821,78.3,1.8,0.44,2.1,76.7
01-Mar-2022,11824,78.5,2.02,0.39,3.2,76.7
02-Mar-2022,11795,78.8,2.17,0.36,3.4,76.9
03-Mar-2022,11775,79.1,2.25,0.35,2.7,77.1
04-Mar-2022,11873,79.4,2.24,0.31,5.8,77.3
05-Mar-2022,11362,78.2,2.17,0.25,3.6,76.1
06-Mar-2022,11885,76.3,2.02,0.31,2.6,74.6
07-Mar-2022,11750,75.4,1.68,0.41,4.9,74.2
